Matrix size, Average Time, SD, No of samples, 
200,0.0277,0.0063,80.2991, 
400,0.2248,0.0063,1.2218, 
600,0.8066,0.0134,0.4266, 
800,2.5513,0.089,1.8712, 
1000,8.023,0.2889,1.9923, 
1200,16.6952,0.3448,0.6553, 
1400,26.7609,0.9273,1.8449, 
1600,40.9162,1.9958,3.656, 
1800,58.9642,3.073,4.1736, 
2000,82.2798,5.689,7.3461, 
