Matrix size, Average Time, SD, No of samples, 
200,0.0488,0.0098,61.9704488,
400,0.3644,0.0218,5.5113, 
600,1.2894,0.0218,0.4403, 
800,4.131,0.1023,0.9429, 
1000,12.0073,0.1049,0.1172, 
1200,24.4259,0.1459,0.0548, 
1400,38.6997,1.5533,2.4754, 
1600,59.5126,1.562,1.0586, 
1800,84.8693,4.0997,3.5857, 
2000,118.1578,6.5165,4.6739, 
